round,query_slug,priority_family,rhea_id,equation,status,balanced,candidate_class,training_use,raw_file
17,arylsulfatase,glucuronide_sulfate_deconjugation,RHEA:17261,an aryl sulfate + H2O = a phenol + sulfate + H(+),approved,True,generic_rule_template_context,rule_family_context_only_until exact compounds are mapped,data\curation\rhea_round17_raw\arylsulfatase.json
17,azoreductase,azoreductase_nitroreductase_xenobiotic,,,no_rhea_result,,no_direct_rhea_hit,not_a_sample,data\curation\rhea_round17_raw\azoreductase.json
17,beta_glucuronidase,glucuronide_sulfate_deconjugation,RHEA:17369,glycyrrhizin + H2O = 2-(beta-D-glucuronosyl)-D-glucuronate + glycyrrhetinate,approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\beta_glucuronidase.json
17,beta_glucuronidase,glucuronide_sulfate_deconjugation,RHEA:28130,baicalin + H2O = baicalein + D-glucuronate + H(+),approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\beta_glucuronidase.json
17,beta_glucuronidase,glucuronide_sulfate_deconjugation,RHEA:17633,a beta-D-glucuronoside + H2O = D-glucuronate + an alcohol,approved,True,generic_rule_template_context,rule_family_context_only_until exact compounds are mapped,data\curation\rhea_round17_raw\beta_glucuronidase.json
17,beta_glucuronidase,glucuronide_sulfate_deconjugation,RHEA:15073,"3-D-glucuronosyl-N(2),6-disulfo-beta-D-glucosamine + H2O = N(2),6-disulfo-D-glucosamine + D-glucuronate",approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\beta_glucuronidase.json
17,bile_acid_7_alpha_dehydroxylation,bile_acid_secondary_transformations,,,no_rhea_result,,no_direct_rhea_hit,not_a_sample,data\curation\rhea_round17_raw\bile_acid_7_alpha_dehydroxylation.json
17,carnitine_trimethylamine,tma_choline_carnitine_metabolism,RHEA:55368,(R)-carnitine + NADPH + O2 + H(+) = (3R)-3-hydroxy-4-oxobutanoate + trimethylamine + NADP(+) + H2O,approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\carnitine_trimethylamine.json
17,carnitine_trimethylamine,tma_choline_carnitine_metabolism,RHEA:55396,(R)-carnitine + NADH + O2 + H(+) = (3R)-3-hydroxy-4-oxobutanoate + trimethylamine + NAD(+) + H2O,approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\carnitine_trimethylamine.json
17,cholate_7_alpha_dehydroxylase,bile_acid_secondary_transformations,,,no_rhea_result,,no_direct_rhea_hit,not_a_sample,data\curation\rhea_round17_raw\cholate_7_alpha_dehydroxylase.json
