round,priority_family,priority_level,dominant_gap_type,clean_pairs,clean_gold_pairs,route_gate,source_exactness_gate,structure_mapping_gate,generator_route_gate,negative_gate,external_model_contract,training_allowed_round18,decision,next_action
18,bile_acid_deconjugation_and_lipid_context,P0,route_repair_before_sample_import,96,4,blocked,no_round18_external_candidate,not_started,blocked_or_not_checked,ranking_decoys_conditional; assay_negatives_missing,rxn4chemistry/biocatalysis-model; hesther/enzymemap; jotech/gapseq,False,do_not_retrain_fix_route_first,repair clean route for existing positives; do not import duplicate labels
18,bile_acid_secondary_transformations,P1,gold_test_visibility_gap,14,0,pass_for_route_but_eval_gap,needs_manual_exact_pair_extraction,partial_chebi_cache_for_round17_rhea_leads,blocked_or_not_checked,ranking_decoys_conditional; assay_negatives_missing,rxn4chemistry/biocatalysis-model; hesther/enzymemap; jotech/gapseq,False,do_not_retrain_build_family_balanced_gold_eval,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
18,glucuronide_sulfate_deconjugation,P1,gold_test_visibility_gap,62,0,pass_for_route_but_eval_gap,needs_manual_exact_pair_extraction,partial_chebi_cache_for_round17_rhea_leads,blocked_or_not_checked,ranking_decoys_conditional; assay_negatives_missing,rxn4chemistry/biocatalysis-model; hesther/enzymemap; jotech/gapseq,False,do_not_retrain_build_family_balanced_gold_eval,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
18,glycoside_and_hmo_hydrolysis,P2,generator_recall_or_rule_pool_gap,431,20,not_primary,no_round18_external_candidate,not_started,blocked_or_not_checked,ranking_decoys_conditional; assay_negatives_missing,rxn4chemistry/biocatalysis-model; hesther/enzymemap; jotech/gapseq,False,do_not_retrain_monitor_or_split_subfamily,trace why reactions are present but not generated; add source-traceable rule overlays only
18,hydroxycinnamate_reduction_and_hydrolysis,P0,route_repair_before_sample_import,2,0,blocked,no_round18_external_candidate,not_started,blocked_or_not_checked,ranking_decoys_conditional; assay_negatives_missing,rxn4chemistry/biocatalysis-model; hesther/enzymemap; jotech/gapseq,False,do_not_retrain_fix_route_first,repair clean route for existing positives; do not import duplicate labels
18,polyphenol_ring_fission,P1,gold_test_visibility_gap,0,0,pass_for_route_but_eval_gap,no_round18_external_candidate,not_started,blocked_or_not_checked,ranking_decoys_conditional; assay_negatives_missing,rxn4chemistry/biocatalysis-model; hesther/enzymemap; jotech/gapseq,False,do_not_retrain_build_family_balanced_gold_eval,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
18,urolithin_dehydroxylation,P2,gold_test_visibility_gap,0,0,pass_for_route_but_eval_gap,no_round18_external_candidate,not_started,blocked_or_not_checked,ranking_decoys_conditional; assay_negatives_missing,rxn4chemistry/biocatalysis-model; hesther/enzymemap; jotech/gapseq,False,do_not_retrain_monitor_or_split_subfamily,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
18,isoflavone_reductive_and_glycoside_metabolism,P2,gold_test_visibility_gap,0,0,pass_for_route_but_eval_gap,no_round18_external_candidate,not_started,blocked_or_not_checked,ranking_decoys_conditional; assay_negatives_missing,rxn4chemistry/biocatalysis-model; hesther/enzymemap; jotech/gapseq,False,do_not_retrain_monitor_or_split_subfamily,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
18,lignan_redox_and_deglycosylation,P2,gold_test_visibility_gap,0,0,pass_for_route_but_eval_gap,no_round18_external_candidate,not_started,blocked_or_not_checked,ranking_decoys_conditional; assay_negatives_missing,rxn4chemistry/biocatalysis-model; hesther/enzymemap; jotech/gapseq,False,do_not_retrain_monitor_or_split_subfamily,promote already curated gold/silver positives into family-balanced evaluation where leakage-safe
18,prenylflavonoid_o_demethylation,P2,generator_recall_or_rule_pool_gap,3,0,not_primary,no_round18_external_candidate,not_started,blocked_or_not_checked,ranking_decoys_conditional; assay_negatives_missing,rxn4chemistry/biocatalysis-model; hesther/enzymemap; jotech/gapseq,False,do_not_retrain_monitor_or_split_subfamily,trace why reactions are present but not generated; add source-traceable rule overlays only
