round,source_id,pair_key,priority_family,training_allowed_round16,decision,local_loss_stage,target_generated_any_round16,target_generated_with_ec_round16,recommended_next_action
16,RHEA:16309,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,bile_acid_deconjugation_and_lipid_context,False,do_not_import_existing_positive_fix_final_clean_filtering,target_lost_between_clean_full_and_clean,True,False,trace why final clean keeps only part of the true-product set for this substrate
16,RHEA:19353,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,bile_acid_deconjugation_and_lipid_context,False,do_not_import_existing_positive_fix_final_clean_filtering,target_lost_between_clean_full_and_clean,True,True,trace why final clean keeps only part of the true-product set for this substrate
16,RHEA:20689,CWVRJTMFETXNAD__QAIPRVGONGVQAS,hydroxycinnamate_reduction_and_hydrolysis,False,do_not_import_existing_positive_wire_source_traceable_rule,absent_from_clean_full_but_fullrule_hit,False,False,promote or overlay the source-traceable rule path and rerun clean candidate generation
16,RHEA:69683,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,isoflavone_reductive_and_glycoside_metabolism,False,do_not_import_existing_positive_already_reaches_ranker,present_in_final_clean,True,True,provenance enrichment only
16,external_screen,,bile_acid_deconjugation_and_lipid_context,False,external_leads_need_collect_verify_modify_cycle,,,,"extract exact substrate/product pairs, map ChEBI/PubChem/InChIKey, de-dup against reactions, then run generator-route gate"
16,external_screen,,glycoside_and_hmo_hydrolysis,False,external_leads_need_collect_verify_modify_cycle,,,,"extract exact substrate/product pairs, map ChEBI/PubChem/InChIKey, de-dup against reactions, then run generator-route gate"
16,external_screen,,hydroxycinnamate_reduction_and_hydrolysis,False,external_leads_need_collect_verify_modify_cycle,,,,"extract exact substrate/product pairs, map ChEBI/PubChem/InChIKey, de-dup against reactions, then run generator-route gate"
16,external_screen,,isoflavone_reductive_and_glycoside_metabolism,False,external_leads_need_collect_verify_modify_cycle,,,,"extract exact substrate/product pairs, map ChEBI/PubChem/InChIKey, de-dup against reactions, then run generator-route gate"
16,external_screen,,lignan_redox_and_deglycosylation,False,external_leads_need_collect_verify_modify_cycle,,,,"extract exact substrate/product pairs, map ChEBI/PubChem/InChIKey, de-dup against reactions, then run generator-route gate"
16,external_screen,,polyphenol_ring_fission,False,external_leads_need_collect_verify_modify_cycle,,,,"extract exact substrate/product pairs, map ChEBI/PubChem/InChIKey, de-dup against reactions, then run generator-route gate"
