round,module,sb,pb,substrate_name,product_name,round6_rule_import_status,round6_training_allowed,round6_import_blocker,rule_id,rule_source,rule_ec_number,rule_ec_class,rule_legacy_id,base_mnxr_id,template_mnxm_id,resolved_mnxr_ids,deprecation_status,metanetx_found,mnx_equations,mnx_descriptions,mnx_ecs,xref_count,rhea_xrefs,kegg_xrefs,metacyc_xrefs,seed_xrefs,retrorules_index_found,retrorules_direction,retrorules_relative_direction,retrorules_usage,rule_score,rule_diameter,exact_reaction_support,evidence_source_ids,source_reaction_check_status,round7_import_recommendation,import_allowed_round7,training_allowed_round7,reason_training_still_blocked
7,A,QAIPRVGONGVQAS,DZAUWHJDUNRCTF,caffeic acid,dihydrocaffeic acid,candidate_after_source_reaction_check,False,"RetroRules recovered the pair, but source reaction, direction, license, and exact biological pair must be checked first.",retrorules_RR-02-64c777dae538a974-02-F,retrorules,1.3.1.44;1.3.1.9;1.3.99.2,oxidoreductase,MNXR95305_MNXM214,MNXR95305,MNXM214,MNXR152810;MNXR152811,deprecated_mapped_to_current,False,,,,0,,,,,True,1,1,forward,2.478566495593844,2.0,yes_if_source_rechecked,PMID:40528807;DOI:10.1002/jsfa.70000,deprecated_mapping_unresolved_in_current_reac_prop,manual_metanetx_deprecation_review,False,False,"Round7 verifies source reaction traceability only; exact biological pair, direction, stereochemistry, license, holdout, and split checks remain required."
7,A,MHXCIKYXNYCMHY,PUETUDUXMCLALY,lariciresinol,secoisolariciresinol,candidate_after_source_reaction_check,False,"RetroRules recovered the pair, but source reaction, direction, license, and exact biological pair must be checked first.",retrorules_RR-02-68cf65e608353cc6-02-F,retrorules,1.23.1.2,oxidoreductase,MNXR113586_MNXM59759,MNXR113586,MNXM59759,MNXR113586,current_or_unmapped,True,1 MNXM1@MNXD1 + 1 MNXM738665@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM9367@MNXD1,rh:34423,B,14,rhea:34423;rhea:34424;rhea:34425;rhea:34426,kegg.reaction:R10226,metacyc.reaction:RXN-8679,seed.reaction:rxn25064,True,1,1,forward,0.3010299956639812,2.0,yes_if_exact_step_extracted,PMID:11453749,source_reaction_candidate_verified_not_imported,manual_direction_license_and_exact_pair_check_before_import,False,False,"Round7 verifies source reaction traceability only; exact biological pair, direction, stereochemistry, license, holdout, and split checks remain required."
7,A,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,pinoresinol,lariciresinol,candidate_after_source_reaction_check,False,"RetroRules recovered the pair, but source reaction, direction, license, and exact biological pair must be checked first.",retrorules_RR-02-68cf65e608353cc6-02-F,retrorules,1.23.1.2,oxidoreductase,MNXR113586_MNXM59759,MNXR113586,MNXM59759,MNXR113586,current_or_unmapped,True,1 MNXM1@MNXD1 + 1 MNXM738665@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM9367@MNXD1,rh:34423,B,14,rhea:34423;rhea:34424;rhea:34425;rhea:34426,kegg.reaction:R10226,metacyc.reaction:RXN-8679,seed.reaction:rxn25064,True,1,1,forward,0.3010299956639812,2.0,yes,PMID:12736449,source_reaction_candidate_verified_not_imported,manual_direction_license_and_exact_pair_check_before_import,False,False,"Round7 verifies source reaction traceability only; exact biological pair, direction, stereochemistry, license, holdout, and split checks remain required."
7,A,REFJWTPEDVJJIY,CXQWRCVTCMQVQX,quercetin,taxifolin,candidate_after_source_reaction_check,False,"RetroRules recovered the pair, but source reaction, direction, license, and exact biological pair must be checked first.",retrorules_RR-02-80f4118a337ce901-02-F,retrorules,1.14.11.23,oxidoreductase,MNXR110332_MNXM1936,MNXR110332,MNXM1936,MNXR140837,deprecated_mapped_to_current,True,1 MNXM1368744@MNXD1 + 1 MNXM733711@MNXD1 + 1 MNXM735438@MNXD1 = 1 MNXM13@MNXD1 + 1 MNXM1936@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM25@MNXD1 + 1 WATER@MNXD1,rh:61140,B,14,rhea:61140;rhea:61141;rhea:61142;rhea:61143,kegg.reaction:R06539,metacyc.reaction:RXN-8450,seed.reaction:rxn04394,True,1,1,retro,1.4771212547196624,2.0,mechanism_support_only,PMID:36432010,source_reaction_verified_but_pair_not_exact_positive,do_not_train_positive; keep as mechanism-support or candidate-generation evidence,False,False,"Round7 verifies source reaction traceability only; exact biological pair, direction, stereochemistry, license, holdout, and split checks remain required."
7,A,ATJVZXXHKSYELS,KSEBMYQBYZTDHS,ethyl ferulate,ferulic acid,source_recovery_required_before_import,False,"Pair has promising PubMed support, but recovered rule is MicrobeRX-only or lacks EC/source-reaction provenance.",microberx_3HBBUTH_LR,microberx,,,3HBBUTH_LR,,,,no_mnxr_legacy_id,False,,,,0,,,,,False,,,,1.0,,yes,PMID:19502437,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,False,False,"Round7 verifies source reaction traceability only; exact biological pair, direction, stereochemistry, license, holdout, and split checks remain required."
7,A,YKGCBLWILMDSAV,LPEPZZAVFJPLNZ,isoxanthohumol,8-prenylnaringenin,source_recovery_required_before_import,False,"Pair has promising PubMed support, but recovered rule is MicrobeRX-only or lacks EC/source-reaction provenance.",microberx_1331TAALThr_LR,microberx,,,1331TAALThr_LR,,,,no_mnxr_legacy_id,False,,,,0,,,,,False,,,,1.0,,supportive_not_sufficient;yes_if_exact_conversion_reported,PMID:20397197;PMID:41571201,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,False,False,"Round7 verifies source reaction traceability only; exact biological pair, direction, stereochemistry, license, holdout, and split checks remain required."
7,A,IBHWREHFNDMRPR,QCDYQQDYXPDABM,phloroglucinol carboxylic acid,phloroglucinol,blocked_until_external_evidence_or_rule_provenance,False,Rule or literature provenance remains too weak for production import.,microberx_AMHAMT_RL,microberx,,,AMHAMT_RL,,,,no_mnxr_legacy_id,False,,,,0,,,,,False,,,,1.0,,no,PUBMED_SEARCH_2026-06-04,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,False,False,"Round7 verifies source reaction traceability only; exact biological pair, direction, stereochemistry, license, holdout, and split checks remain required."
7,A,RIUPLDUFZCXCHM,WXUQMTRHPNOXBV,urolithin A,urolithin B,blocked_until_external_evidence_or_rule_provenance,False,Rule or literature provenance remains too weak for production import.,microberx_RE2426C_RL,microberx,,,RE2426C_RL,,,,no_mnxr_legacy_id,False,,,,0,,,,,False,,,,1.0,,yes_if_table_confirms_exact_pair,PMID:29583112,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,False,False,"Round7 verifies source reaction traceability only; exact biological pair, direction, stereochemistry, license, holdout, and split checks remain required."
7,A,HHXMEXZVPJFAIJ,WDGSXHQNUPZEHA,urolithin C,isourolithin A,blocked_until_external_evidence_or_rule_provenance,False,Rule or literature provenance remains too weak for production import.,microberx_RE2426C_RL,microberx,,,RE2426C_RL,,,,no_mnxr_legacy_id,False,,,,0,,,,,False,,,,1.0,,yes_if_table_confirms_exact_pair,PMID:29583112,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,False,False,"Round7 verifies source reaction traceability only; exact biological pair, direction, stereochemistry, license, holdout, and split checks remain required."
7,A,HHXMEXZVPJFAIJ,RIUPLDUFZCXCHM,urolithin C,urolithin A,blocked_until_external_evidence_or_rule_provenance,False,Rule or literature provenance remains too weak for production import.,microberx_RE2426C_RL,microberx,,,RE2426C_RL,,,,no_mnxr_legacy_id,False,,,,0,,,,,False,,,,1.0,,yes,PMID:39856097,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,False,False,"Round7 verifies source reaction traceability only; exact biological pair, direction, stereochemistry, license, holdout, and split checks remain required."
7,B,SNFSYLYCDAVZGP,SHZGCJCMOBCMKK,2'-fucosyllactose,L-fucose,source_recovery_required_before_import,False,"Pair has promising PubMed support, but recovered rule is MicrobeRX-only or lacks EC/source-reaction provenance.",microberx_14BDGGH_LR,microberx,,,14BDGGH_LR,,,,no_mnxr_legacy_id,False,,,,0,,,,,False,,,,1.0,,yes_for_fucosylated_oligosaccharide_family;yes_if_metabolite_release_confirmed,PMID:19520709;PMID:31138818,microberx_rule_needs_source_recovery,replace_or_annotate_with_ec_database_or_exact_literature_rule_before_training,False,False,"Round7 verifies source reaction traceability only; exact biological pair, direction, stereochemistry, license, holdout, and split checks remain required."
