round,priority_family,negative_type,safe_for_training_scope,source_requirements,forbidden_shortcut,example_use
17,bile_acid_deconjugation_and_lipid_context,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,bile_acid_deconjugation_and_lipid_context,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
17,bile_acid_secondary_transformations,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,bile_acid_secondary_transformations,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
17,glucuronide_sulfate_deconjugation,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,glucuronide_sulfate_deconjugation,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
17,glycoside_and_hmo_hydrolysis,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,glycoside_and_hmo_hydrolysis,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
17,hydroxycinnamate_reduction_and_hydrolysis,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,hydroxycinnamate_reduction_and_hydrolysis,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
