round,query_slug,priority_family,pmid,title,journal,triage_decision,training_use,raw_file
16,2_fucosyllactose_fucose_bifidobacterium_fucosidase,glycoside_and_hmo_hydrolysis,36700831,Microbial Synthesis of l-Fucose with High Productivity by a Metabolically Engineered Escherichia coli.,Journal of agricultural and food chemistry,context_only,not_a_sample,data\curation\ncbi_round16_raw\2_fucosyllactose_fucose_bifidobacterium_fucosidase_esearch.json
16,2_fucosyllactose_fucose_bifidobacterium_fucosidase,glycoside_and_hmo_hydrolysis,35722280,2'-Fucosyllactose Increases the Abundance of Blautia in the Presence of Extracellular Fucosidase-Possessing Bacteria.,Frontiers in microbiology,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\2_fucosyllactose_fucose_bifidobacterium_fucosidase_esearch.json
16,2_fucosyllactose_fucose_bifidobacterium_fucosidase,glycoside_and_hmo_hydrolysis,33217923,Improved Transglycosylation by a Xyloglucan-Active α-l-Fucosidase from Fusarium graminearum.,"Journal of fungi (Basel, Switzerland)",literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\2_fucosyllactose_fucose_bifidobacterium_fucosidase_esearch.json
16,2_fucosyllactose_fucose_bifidobacterium_fucosidase,glycoside_and_hmo_hydrolysis,31138818,Novel Genes and Metabolite Trends in Bifidobacterium longum subsp. infantis Bi-26 Metabolism of Human Milk Oligosaccharide 2'-fucosyllactose.,Scientific reports,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\2_fucosyllactose_fucose_bifidobacterium_fucosidase_esearch.json
16,2_fucosyllactose_fucose_bifidobacterium_fucosidase,glycoside_and_hmo_hydrolysis,30683741,Bifidobacterium bifidum ATCC 15696 and Bifidobacterium breve 24b Metabolic Interaction Based on 2'-O-Fucosyl-Lactose Studied in Steady-State Cultures in a Freter-Style Chemostat.,Applied and environmental microbiology,context_only,not_a_sample,data\curation\ncbi_round16_raw\2_fucosyllactose_fucose_bifidobacterium_fucosidase_esearch.json
16,2_fucosyllactose_fucose_bifidobacterium_fucosidase,glycoside_and_hmo_hydrolysis,27782805,Fucosyllactose and L-fucose utilization of infant Bifidobacterium longum and Bifidobacterium kashiwanohense.,BMC microbiology,context_only,not_a_sample,data\curation\ncbi_round16_raw\2_fucosyllactose_fucose_bifidobacterium_fucosidase_esearch.json
16,2_fucosyllactose_fucose_bifidobacterium_fucosidase,glycoside_and_hmo_hydrolysis,24013960,Utilization of major fucosylated and sialylated human milk oligosaccharides by isolated human gut microbes.,Glycobiology,context_only,not_a_sample,data\curation\ncbi_round16_raw\2_fucosyllactose_fucose_bifidobacterium_fucosidase_esearch.json
16,2_fucosyllactose_fucose_bifidobacterium_fucosidase,glycoside_and_hmo_hydrolysis,23952813,"""Amide resonance"" in the catalysis of 1,2-α-L-fucosidase from Bifidobacterium bifidum.",The journal of physical chemistry. B,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\2_fucosyllactose_fucose_bifidobacterium_fucosidase_esearch.json
16,2_fucosyllactose_fucose_bifidobacterium_fucosidase,glycoside_and_hmo_hydrolysis,19520709,Two distinct alpha-L-fucosidases from Bifidobacterium bifidum are essential for the utilization of fucosylated milk oligosaccharides and glycoconjugates.,Glycobiology,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\2_fucosyllactose_fucose_bifidobacterium_fucosidase_esearch.json
16,2_fucosyllactose_fucose_bifidobacterium_fucosidase,glycoside_and_hmo_hydrolysis,17459873,"Structural basis of the catalytic reaction mechanism of novel 1,2-alpha-L-fucosidase from Bifidobacterium bifidum.",The Journal of biological chemistry,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\2_fucosyllactose_fucose_bifidobacterium_fucosidase_esearch.json
16,catechin_valerolactone_gut_microbiota_reaction,polyphenol_ring_fission,32397326,Efficient and Divergent Enantioselective Syntheses of DHPVs and Anti-Inflammatory Effect on IEC-6 Cells.,"Molecules (Basel, Switzerland)",context_only,not_a_sample,data\curation\ncbi_round16_raw\catechin_valerolactone_gut_microbiota_reaction_esearch.json
16,catechin_valerolactone_gut_microbiota_reaction,polyphenol_ring_fission,21457417,Isolation of catechin-converting human intestinal bacteria.,Journal of applied microbiology,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\catechin_valerolactone_gut_microbiota_reaction_esearch.json
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,36282591,Engineering Escherichia coli for Conversion of Dietary Isoflavones in the Gut.,ACS synthetic biology,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,36282480,High Titer of (S)-Equol Synthesis from Daidzein in Escherichia coli.,ACS synthetic biology,context_only,not_a_sample,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,33930123,Isolation and identification of a human intestinal bacterium capable of daidzein conversion.,FEMS microbiology letters,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
