round,priority_family,negative_type,negative_gate_status,allowed_training_scope,required_evidence,forbidden_shortcut,anti_cheat_check
18,bile_acid_deconjugation_and_lipid_context,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,bile_acid_deconjugation_and_lipid_context,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,bile_acid_secondary_transformations,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,bile_acid_secondary_transformations,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,glucuronide_sulfate_deconjugation,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,glucuronide_sulfate_deconjugation,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,glycoside_and_hmo_hydrolysis,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,glycoside_and_hmo_hydrolysis,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,hydroxycinnamate_reduction_and_hydrolysis,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,hydroxycinnamate_reduction_and_hydrolysis,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,polyphenol_ring_fission,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,polyphenol_ring_fission,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,urolithin_dehydroxylation,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
