round,query_id,priority_family,rhea_id,equation,status,balanced,transport,rhea_action_round14,positive_candidate_allowed_round14,reason_or_next_check,rhea_url,raw_file
14,8_prenylnaringenin,prenylflavonoid_o_demethylation,11732,sophoraflavanone B + reduced [NADPH--hemoprotein reductase] + O2 = leachianone G + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),approved,True,False,context_or_rule_template_only,False,Reaction may inform rule coverage but is not yet a source-backed food-gut positive.,https://www.rhea-db.org/rhea/11732,data\curation\rhea_round14_raw\8_prenylnaringenin_rhea.json
14,8_prenylnaringenin,prenylflavonoid_o_demethylation,15433,(2S)-naringenin + dimethylallyl diphosphate = sophoraflavanone B + diphosphate,approved,True,False,context_or_rule_template_only,False,Reaction may inform rule coverage but is not yet a source-backed food-gut positive.,https://www.rhea-db.org/rhea/15433,data\curation\rhea_round14_raw\8_prenylnaringenin_rhea.json
14,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,23532,cholate + ATP + CoA = choloyl-CoA + AMP + diphosphate,approved,True,False,context_or_rule_template_only,False,Reaction may inform rule coverage but is not yet a source-backed food-gut positive.,https://www.rhea-db.org/rhea/23532,data\curation\rhea_round14_raw\bile_salt_hydrolase_rhea.json
14,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,43764,chenodeoxycholate + ATP + CoA = chenodeoxycholoyl-CoA + AMP + diphosphate,approved,True,False,context_or_rule_template_only,False,Reaction may inform rule coverage but is not yet a source-backed food-gut positive.,https://www.rhea-db.org/rhea/43764,data\curation\rhea_round14_raw\bile_salt_hydrolase_rhea.json
14,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,47128,deoxycholate + ATP + CoA = deoxycholoyl-CoA + AMP + diphosphate,approved,True,False,context_or_rule_template_only,False,Reaction may inform rule coverage but is not yet a source-backed food-gut positive.,https://www.rhea-db.org/rhea/47128,data\curation\rhea_round14_raw\bile_salt_hydrolase_rhea.json
14,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,47136,lithocholate + ATP + CoA = lithocholoyl-CoA + AMP + diphosphate,approved,True,False,context_or_rule_template_only,False,Reaction may inform rule coverage but is not yet a source-backed food-gut positive.,https://www.rhea-db.org/rhea/47136,data\curation\rhea_round14_raw\bile_salt_hydrolase_rhea.json
14,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,14541,choloyl-CoA + H2O = cholate + CoA + H(+),approved,True,False,context_or_rule_template_only,False,Reaction may inform rule coverage but is not yet a source-backed food-gut positive.,https://www.rhea-db.org/rhea/14541,data\curation\rhea_round14_raw\bile_salt_hydrolase_rhea.json
14,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,79123,cholate + L-phenylalanine = L-phenylalanocholate + H2O,approved,True,False,context_or_rule_template_only,False,Reaction may inform rule coverage but is not yet a source-backed food-gut positive.,https://www.rhea-db.org/rhea/79123,data\curation\rhea_round14_raw\bile_salt_hydrolase_rhea.json
14,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,16309,taurochenodeoxycholate + H2O = chenodeoxycholate + taurine,approved,True,False,source_backed_positive_candidate_after_structure_mapping,True,"Approved balanced Rhea reaction; can become a positive candidate only after structure mapping, food-gut relevance, split guard, and generator recall checks.",https://www.rhea-db.org/rhea/16309,data\curation\rhea_round14_raw\bile_salt_hydrolase_rhea.json
14,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,19353,glycocholate + H2O = cholate + glycine,approved,True,False,source_backed_positive_candidate_after_structure_mapping,True,"Approved balanced Rhea reaction; can become a positive candidate only after structure mapping, food-gut relevance, split guard, and generator recall checks.",https://www.rhea-db.org/rhea/19353,data\curation\rhea_round14_raw\bile_salt_hydrolase_rhea.json
