round,source_type,priority_family,source_id,candidate_text,candidate_status,training_allowed_round17,required_next_verification,raw_file
17,Rhea,glucuronide_sulfate_deconjugation,RHEA:17261,an aryl sulfate + H2O = a phenol + sulfate + H(+),generic_rule_template_context,False,Map ChEBI/PubChem structures; de-dup local pairs; check clean generator route; only then decide import or rule repair.,data\curation\rhea_round17_raw\arylsulfatase.json
17,Rhea,glucuronide_sulfate_deconjugation,RHEA:17369,glycyrrhizin + H2O = 2-(beta-D-glucuronosyl)-D-glucuronate + glycyrrhetinate,approved_exact_or_specific_reaction_lead,False,Map ChEBI/PubChem structures; de-dup local pairs; check clean generator route; only then decide import or rule repair.,data\curation\rhea_round17_raw\beta_glucuronidase.json
17,Rhea,glucuronide_sulfate_deconjugation,RHEA:28130,baicalin + H2O = baicalein + D-glucuronate + H(+),approved_exact_or_specific_reaction_lead,False,Map ChEBI/PubChem structures; de-dup local pairs; check clean generator route; only then decide import or rule repair.,data\curation\rhea_round17_raw\beta_glucuronidase.json
17,Rhea,glucuronide_sulfate_deconjugation,RHEA:17633,a beta-D-glucuronoside + H2O = D-glucuronate + an alcohol,generic_rule_template_context,False,Map ChEBI/PubChem structures; de-dup local pairs; check clean generator route; only then decide import or rule repair.,data\curation\rhea_round17_raw\beta_glucuronidase.json
17,Rhea,glucuronide_sulfate_deconjugation,RHEA:15073,"3-D-glucuronosyl-N(2),6-disulfo-beta-D-glucosamine + H2O = N(2),6-disulfo-D-glucosamine + D-glucuronate",approved_exact_or_specific_reaction_lead,False,Map ChEBI/PubChem structures; de-dup local pairs; check clean generator route; only then decide import or rule repair.,data\curation\rhea_round17_raw\beta_glucuronidase.json
17,Rhea,tma_choline_carnitine_metabolism,RHEA:55368,(R)-carnitine + NADPH + O2 + H(+) = (3R)-3-hydroxy-4-oxobutanoate + trimethylamine + NADP(+) + H2O,approved_exact_or_specific_reaction_lead,False,Map ChEBI/PubChem structures; de-dup local pairs; check clean generator route; only then decide import or rule repair.,data\curation\rhea_round17_raw\carnitine_trimethylamine.json
17,Rhea,tma_choline_carnitine_metabolism,RHEA:55396,(R)-carnitine + NADH + O2 + H(+) = (3R)-3-hydroxy-4-oxobutanoate + trimethylamine + NAD(+) + H2O,approved_exact_or_specific_reaction_lead,False,Map ChEBI/PubChem structures; de-dup local pairs; check clean generator route; only then decide import or rule repair.,data\curation\rhea_round17_raw\carnitine_trimethylamine.json
17,Rhea,tma_choline_carnitine_metabolism,RHEA:35095,choline = trimethylamine + acetaldehyde,approved_exact_or_specific_reaction_lead,False,Map ChEBI/PubChem structures; de-dup local pairs; check clean generator route; only then decide import or rule repair.,data\curation\rhea_round17_raw\choline_trimethylamine_lyase.json
17,Rhea,glucuronide_sulfate_deconjugation,RHEA:34179,mycophenolic acid O-acyl-beta-D-glucuronide + H2O = mycophenolate + D-glucuronate + H(+),approved_exact_or_specific_reaction_lead,False,Map ChEBI/PubChem structures; de-dup local pairs; check clean generator route; only then decide import or rule repair.,data\curation\rhea_round17_raw\glucuronide_hydrolase.json
17,Rhea,glucuronide_sulfate_deconjugation,RHEA:28130,baicalin + H2O = baicalein + D-glucuronate + H(+),approved_exact_or_specific_reaction_lead,False,Map ChEBI/PubChem structures; de-dup local pairs; check clean generator route; only then decide import or rule repair.,data\curation\rhea_round17_raw\glucuronide_hydrolase.json
