round,query_id,priority_family,query_role,query,pubmed_count_available,pubmed_ids_returned,returned_pmids,query_translation,raw_file,interpretation
14,hmo_2fl_fucose_broad,glycoside_and_hmo_hydrolysis,broad_literature_screen,2 fucosyllactose fucose bifidobacterium,19,10,33330584;27782805;31138818;38389793;30928028;33382612;30683741;40135481;36700831;17459873,"(""2 fucosyllactose""[Supplementary Concept] OR ""2 fucosyllactose""[All Fields] OR ""2 fucosyllactose""[All Fields]) AND (""fucose""[Supplementary Concept] OR ""fucose""[All Fields] OR ""fucose""[MeSH Terms] OR ""fucoses""[All Fields]) AND (""bifidobacterium""[MeSH Terms] OR ""bifidobacterium""[All Fields])",data\curation\ncbi_round14_raw\hmo_2fl_fucose_broad_esearch.json,screen_hits_require_exact_pair_verification
14,hmo_2fl_fucose,glycoside_and_hmo_hydrolysis,strict_exact_pair_search,2-fucosyllactose L-fucose Bifidobacterium infantis hydrolysis,0,0,,"(""2 fucosyllactose""[Supplementary Concept] OR ""2 fucosyllactose""[All Fields] OR ""2 fucosyllactose""[All Fields]) AND (""fucose""[Supplementary Concept] OR ""fucose""[All Fields] OR ""l fucose""[All Fields] OR ""fucose""[MeSH Terms]) AND (""bifidobacterium longum subspecies infantis""[MeSH Terms] OR (""bifidobacterium""[All Fields] AND ""longum""[All Fields] AND ""subspecies""[All Fields] AND ""infantis""[All Fields]) OR ""bifidobacterium longum subspecies infantis""[All Fields] OR (""bifidobacterium""[All Fields] AND ""infantis""[All Fields]) OR ""bifidobacterium infantis""[All Fields]) AND (""hydrolysis""[MeSH Terms] OR ""hydrolysis""[All Fields])",data\curation\ncbi_round14_raw\hmo_2fl_fucose_esearch.json,no_hit_is_not_negative
14,hmo_fucosidase_broad,glycoside_and_hmo_hydrolysis,broad_literature_screen,fucosyllactose fucosidase Bifidobacterium,20,10,34731055;27782805;35722280;32388762;37973815;31138818;15262925;23952813;17459873;36700831,"(""fucosyllactose""[All Fields] OR ""fucosyllactoses""[All Fields]) AND (""alpha l fucosidase""[Supplementary Concept] OR ""alpha l fucosidase""[All Fields] OR ""fucosidase""[All Fields] OR ""alpha l fucosidase""[MeSH Terms] OR ""fucosidases""[All Fields]) AND (""bifidobacterium""[MeSH Terms] OR ""bifidobacterium""[All Fields])",data\curation\ncbi_round14_raw\hmo_fucosidase_broad_esearch.json,screen_hits_require_exact_pair_verification
14,hydroxycinnamate_reduction,hydroxycinnamate_reduction_and_hydrolysis,broad_literature_screen,gut microbiota caffeic acid dihydrocaffeic acid reduction,1,1,32716447,"(""gastrointestinal microbiome""[MeSH Terms] OR (""gastrointestinal""[All Fields] AND ""microbiome""[All Fields]) OR ""gastrointestinal microbiome""[All Fields] OR (""gut""[All Fields] AND ""microbiota""[All Fields]) OR ""gut microbiota""[All Fields]) AND (""caffeic acid""[Supplementary Concept] OR ""caffeic acid""[All Fields]) AND (""3 4 dihydroxyphenylpropionic acid""[Supplementary Concept] OR ""3 4 dihydroxyphenylpropionic acid""[All Fields] OR ""dihydrocaffeic acid""[All Fields]) AND (""reduction""[All Fields] OR ""reductions""[All Fields])",data\curation\ncbi_round14_raw\hydroxycinnamate_reduction_esearch.json,screen_hits_require_exact_pair_verification
14,isoflavone_equol_negative,isoflavone_reductive_and_glycoside_metabolism,negative_evidence_search,daidzein equol non-producer no conversion gut bacteria,0,0,,"(""daidzein""[Supplementary Concept] OR ""daidzein""[All Fields] OR ""daidzein s""[All Fields]) AND (""equol""[Supplementary Concept] OR ""equol""[All Fields] OR ""equol""[MeSH Terms] OR ""equols""[All Fields]) AND ""non-producer""[All Fields] AND (""conversion""[All Fields] OR ""conversions""[All Fields]) AND (""gut""[Journal] OR ""gut""[All Fields]) AND (""bacteria s""[All Fields] OR ""bacteriae""[All Fields] OR ""bacterias""[All Fields] OR ""microbiology""[MeSH Subheading] OR ""microbiology""[All Fields] OR ""bacteria""[All Fields] OR ""bacteria""[MeSH Terms])",data\curation\ncbi_round14_raw\isoflavone_equol_negative_esearch.json,no_hit_is_not_negative
14,isoflavone_equol_no_conversion_broad,isoflavone_reductive_and_glycoside_metabolism,negative_evidence_search,daidzein equol no conversion,59,10,34855380;36282480;31527435;22179235;31069407;23542626;23115971;18539813;33930123;31231095,"(""daidzein""[Supplementary Concept] OR ""daidzein""[All Fields] OR ""daidzein s""[All Fields]) AND (""equol""[Supplementary Concept] OR ""equol""[All Fields] OR ""equol""[MeSH Terms] OR ""equols""[All Fields]) AND (""conversion""[All Fields] OR ""conversions""[All Fields])",data\curation\ncbi_round14_raw\isoflavone_equol_no_conversion_broad_esearch.json,screen_hits_require_exact_pair_verification
14,isoflavone_equol_nonproducer_broad,isoflavone_reductive_and_glycoside_metabolism,negative_evidence_search,equol non producer daidzein conversion,18,10,36282480;23115971;33930123;38362621;36282591;22113864;21092366;19357217;24946051;18328079,"(""equol""[Supplementary Concept] OR ""equol""[All Fields] OR ""equol""[MeSH Terms] OR ""equols""[All Fields]) AND ""non""[All Fields] AND (""produce""[All Fields] OR ""produced""[All Fields] OR ""producent""[All Fields] OR ""producer""[All Fields] OR ""producer s""[All Fields] OR ""producers""[All Fields] OR ""produces""[All Fields] OR ""producible""[All Fields] OR ""producing""[All Fields]) AND (""daidzein""[Supplementary Concept] OR ""daidzein""[All Fields] OR ""daidzein s""[All Fields]) AND (""conversion""[All Fields] OR ""conversions""[All Fields])",data\curation\ncbi_round14_raw\isoflavone_equol_nonproducer_broad_esearch.json,screen_hits_require_exact_pair_verification
14,isoxanthohumol_8pn,prenylflavonoid_o_demethylation,known_exact_pair_support,isoxanthohumol 8-prenylnaringenin human intestinal bacteria,5,5,16076107;18567753;23765740;17506823;20397197,"(""isoxanthohumol""[Supplementary Concept] OR ""isoxanthohumol""[All Fields]) AND (""8 prenylnaringenin""[Supplementary Concept] OR ""8 prenylnaringenin""[All Fields] OR ""8 prenylnaringenin""[All Fields]) AND (""human s""[All Fields] OR ""humans""[MeSH Terms] OR ""humans""[All Fields] OR ""human""[All Fields]) AND (""intestinalization""[All Fields] OR ""intestinalized""[All Fields] OR ""intestinally""[All Fields] OR ""intestinals""[All Fields] OR ""intestine s""[All Fields] OR ""intestines""[MeSH Terms] OR ""intestines""[All Fields] OR ""intestinal""[All Fields] OR ""intestine""[All Fields]) AND (""bacteria s""[All Fields] OR ""bacteriae""[All Fields] OR ""bacterias""[All Fields] OR ""microbiology""[MeSH Subheading] OR ""microbiology""[All Fields] OR ""bacteria""[All Fields] OR ""bacteria""[MeSH Terms])",data\curation\ncbi_round14_raw\isoxanthohumol_8pn_esearch.json,screen_hits_require_exact_pair_verification
14,pinoresinol_lariciresinol,lignan_redox_and_deglycosylation,known_exact_pair_support,pinoresinol lariciresinol human intestinal microflora,3,3,15877880;17449591;12736449,"(""pinoresinol""[Supplementary Concept] OR ""pinoresinol""[All Fields] OR ""pinoresinols""[All Fields]) AND (""lariciresinol""[Supplementary Concept] OR ""lariciresinol""[All Fields]) AND (""human s""[All Fields] OR ""humans""[MeSH Terms] OR ""humans""[All Fields] OR ""human""[All Fields]) AND (""gastrointestinal microbiome""[MeSH Terms] OR (""gastrointestinal""[All Fields] AND ""microbiome""[All Fields]) OR ""gastrointestinal microbiome""[All Fields] OR (""intestinal""[All Fields] AND ""microflora""[All Fields]) OR ""intestinal microflora""[All Fields])",data\curation\ncbi_round14_raw\pinoresinol_lariciresinol_esearch.json,screen_hits_require_exact_pair_verification
14,polyphenol_ring_fission_catechin_broad,polyphenol_ring_fission,broad_literature_screen,catechin valerolactone gut microbiota,28,10,38975869;31344423;38350729;32223044;25045165;35011305;36552698;26025814;37683128;35568144,"(""catechin""[Supplementary Concept] OR ""catechin""[All Fields] OR ""catechin""[MeSH Terms] OR ""catechins""[All Fields] OR ""catechine""[All Fields] OR ""catechines""[All Fields]) AND (""valerolactone""[All Fields] OR ""valerolactones""[All Fields]) AND (""gastrointestinal microbiome""[MeSH Terms] OR (""gastrointestinal""[All Fields] AND ""microbiome""[All Fields]) OR ""gastrointestinal microbiome""[All Fields] OR (""gut""[All Fields] AND ""microbiota""[All Fields]) OR ""gut microbiota""[All Fields])",data\curation\ncbi_round14_raw\polyphenol_ring_fission_catechin_broad_esearch.json,screen_hits_require_exact_pair_verification
