round,query_slug,priority_family,rhea_id,equation,status,balanced,triage_decision,training_use,raw_file
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:23532,cholate + ATP + CoA = choloyl-CoA + AMP + diphosphate,approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:43764,chenodeoxycholate + ATP + CoA = chenodeoxycholoyl-CoA + AMP + diphosphate,approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:47128,deoxycholate + ATP + CoA = deoxycholoyl-CoA + AMP + diphosphate,approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:47136,lithocholate + ATP + CoA = lithocholoyl-CoA + AMP + diphosphate,approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:14541,choloyl-CoA + H2O = cholate + CoA + H(+),approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:79123,cholate + L-phenylalanine = L-phenylalanocholate + H2O,approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:16309,taurochenodeoxycholate + H2O = chenodeoxycholate + taurine,approved,True,source_backed_existing_positive,do_not_duplicate; use for route repair or provenance,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:19353,glycocholate + H2O = cholate + glycine,approved,True,source_backed_existing_positive,do_not_duplicate; use for route repair or provenance,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:79099,cholate + L-histidine = L-histidocholate + H2O,approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:79111,cholate + L-arginine = L-arginocholate + H2O,approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
