gap_family,negative_type,use_as_y0,logic,validation_required
phenolic_ester_hydrolysis,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
phenolic_ester_hydrolysis,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
phenolic_ester_hydrolysis,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
phenolic_ester_hydrolysis,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
ellagitannin_urolithin_multistep,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
ellagitannin_urolithin_multistep,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
ellagitannin_urolithin_multistep,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
ellagitannin_urolithin_multistep,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
isoflavone_reductive_metabolism,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
isoflavone_reductive_metabolism,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
isoflavone_reductive_metabolism,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
isoflavone_reductive_metabolism,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
isoflavone_reduction,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
isoflavone_reduction,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
isoflavone_reduction,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
isoflavone_reduction,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
isoflavone_c_glycoside_conversion,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
isoflavone_c_glycoside_conversion,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
isoflavone_c_glycoside_conversion,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
isoflavone_c_glycoside_conversion,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
lignan_deglucosylation,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
lignan_deglucosylation,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
lignan_deglucosylation,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
lignan_deglucosylation,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
lignan_multistep_demethylation_dehydroxylation,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
lignan_multistep_demethylation_dehydroxylation,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
lignan_multistep_demethylation_dehydroxylation,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
lignan_multistep_demethylation_dehydroxylation,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
lignan_oxidation,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
lignan_oxidation,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
lignan_oxidation,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
lignan_oxidation,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
flavanol_ring_fission,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
flavanol_ring_fission,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
flavanol_ring_fission,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
flavanol_ring_fission,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
flavanone_ring_fission,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
flavanone_ring_fission,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
flavanone_ring_fission,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
flavanone_ring_fission,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
flavonol_ring_fission,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
flavonol_ring_fission,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
flavonol_ring_fission,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
flavonol_ring_fission,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
ellagitannin_hydrolysis,unlabeled_generated_nonmatch,False,Generated candidates that are not in the positive source should stay unlabeled unless a reviewed source rules them out.,source review; do not infer true negatives from absence
ellagitannin_hydrolysis,class_contrast_negative,class_only,"Use reactions from a neighboring class as negatives for reaction-family classification, not as universal molecule-level negatives.",source review; do not infer true negatives from absence
ellagitannin_hydrolysis,context_negative_nonproducer,context_model_only,A non-producer strain/community can be negative only when the model includes strain/community context.,source review; do not infer true negatives from absence
ellagitannin_hydrolysis,hard_negative_after_source_review,reviewed_only,A plausible generated product may become a hard negative only after source review shows the supported product is different under the same context.,source review; do not infer true negatives from absence
