row_id,audit_round,gap_family,current_local_status,external_model_or_source_evidence,primary_source_url,secondary_source_url,suggested_positive_sample_logic,suggested_negative_sample_logic,validation_required,training_allowed_initial,notes
rgcs1,round1,phenolic_ester_hydrolysis,"holdout pair chlorogenic_acid_to_caffeic_acid is in positive_pool and reactions_parquet but absent from clean_candidates_full; fullrule hit=1","BioTransformer/MicrobeRX-style evidence supports enzyme/rule annotated metabolism; local pool has benchmark evidence","https://pubmed.ncbi.nlm.nih.gov/30113130/","https://pubmed.ncbi.nlm.nih.gov/11412317/","Collect independent caffeoylquinic/chlorogenic ester hydrolysis cases with substrate/product SMILES, esterase or EC 3.1.1.- evidence, microbe/strain if available, PMID/DOI","Do not create random non-reactions; use same substrate with generated-but-unobserved rule products as unlabeled/hard-negative only, or structurally similar esters lacking gut esterase evidence as unknown-negative with low confidence","Verify exact substrate/product identity, stereochemistry/inchikey, microbial esterase evidence, and whether pair already appears in benchmark holdout",false,"This family may be a pipeline/candidate inclusion failure more than a raw-data absence."
rgcs2,round1,ellagitannin_urolithin_multistep,"ellagic_acid_to_urolithin_A is in positive_pool but absent from reactions_parquet and clean_candidates_full","Gut microbiota converts ellagic acid/ellagitannins to urolithins; MicrobeRX/GutBugDB emphasize enzyme/microbe annotation rather than ungrounded rules","https://pubmed.ncbi.nlm.nih.gov/24909569/","https://pubmed.ncbi.nlm.nih.gov/35118817/","Use stepwise positives rather than one shortcut: ellagic acid to urolithin M5/M6/C/A/B where source reports strain, enzyme, or fermentation evidence","Use stage-invalid products as hard negatives only when source shows an alternate pathway/metabotype; otherwise keep as unlabeled because urolithin metabolism is community/metabotype-dependent","Verify each step separately, do not train one generic ellagic_to_urolithin_A shortcut unless paper explicitly supports it",false,"Existing pool appears to contain curated urolithin intermediates; next audit should trace why they do not rescue the holdout."
rgcs3,round1,isoflavone_reductive_metabolism,"daidzein_to_equol is in positive_pool but absent from reactions_parquet and clean_candidates_full","Equol pathway is known gut-bacterial multi-step metabolism with reductase genes/enzymes","https://journals.asm.org/doi/10.1128/AEM.02058-08","https://pmc.ncbi.nlm.nih.gov/articles/PMC8618169/","Collect daidzein/genistein stepwise positives: daidzein to dihydrodaidzein, dihydrodaidzein to tetrahydrodaidzein, tetrahydrodaidzein to equol; include strain and enzyme/gene labels where available","For negatives, separate non-equol producer strains or alternate ODMA pathway cases from chemical non-products; strain-context negative labels are stronger than molecule-only negatives","Verify strain, enzyme/gene, stereochemistry, and whether the endpoint is net multi-step versus single-step",false,"This is a biological context problem: molecule-only labels may be insufficient without producer/non-producer context."
rgcs4,round1,isoflavone_reduction,"daidzein_to_dihydrodaidzein and genistein_to_dihydrogenistein exist locally; some in reactions_parquet, but absent from clean_candidates_full positives","Published isoflavone reducers support first-step C2-C3 reduction","https://journals.asm.org/doi/10.1128/AEM.00555-08","https://journals.asm.org/doi/abs/10.1128/aem.00410-12","Collect independent first-step reduction pairs for daidzein, genistein, glycitein and related isoflavones with exact product stereochemistry when reported","Use unreduced isoflavones under non-reducing strains as context negatives; avoid labeling unlabeled isoflavone/product combinations as true negatives","Verify if current candidate generator can generate first reduction products before retraining ranker",false,"This may need reaction template repair plus data expansion."
rgcs5,round1,isoflavone_c_glycoside_conversion,"puerarin_to_daidzein is absent from positive_pool, reactions_parquet, and clean_candidates_full","Human gut Dorea strains and bacterial enzymes can cleave C-glycosidic bond in puerarin metabolism","https://journals.asm.org/doi/abs/10.1128/aem.00607-20","https://pubmed.ncbi.nlm.nih.gov/37789701/","Collect C-glycoside conversion cases separately from ordinary O-glycoside hydrolysis; include puerarin/isoorientin/vitexin-like substrates only when C-C glycosidic cleavage is documented","Use O-glycoside hydrolysis products as negative for C-glycoside class labels, not as molecule-level negative metabolites","Verify exact bond class, enzyme system, and whether the product is true aglycone release or rearranged intermediate",false,"Current B-module glycoside success does not prove C-glycoside capability."
rgcs6,round1,lignan_deglucosylation,"SDG_to_secoisolariciresinol is absent from positive_pool, reactions_parquet, and clean_candidates_full","Human intestinal bacteria transform secoisolariciresinol diglucoside to mammalian lignans through stepwise activation","https://pubmed.ncbi.nlm.nih.gov/11086885/","https://pubmed.ncbi.nlm.nih.gov/16466386/","Collect plant lignan glycoside deglycosylation positives, especially SDG to SECO and related aglycone release steps with human fecal or isolate evidence","Use non-lignan glycoside hydrolysis only as class-contrast negatives; do not assume failure of flavonoid glycoside templates proves negative biology","Verify whether sugar moiety and aglycone are both represented correctly, not just glucose release",false,"Needs its own lignan family label so B-module sugar release is not overcounted."
rgcs7,round1,lignan_multistep_demethylation_dehydroxylation,"secoisolariciresinol_to_enterodiol is in positive_pool but absent from reactions_parquet and clean_candidates_full","Lignan activation to enterodiol/enterolactone is a multi-organism gut pathway","https://pubmed.ncbi.nlm.nih.gov/11086885/","https://pmc.ncbi.nlm.nih.gov/articles/PMC1265965/","Collect intermediate-resolved lignan positives: SECO to demethylated/dehydroxylated intermediates to enterodiol; avoid endpoint-only shortcuts when intermediates are known","Use alternative lignan endpoint pairs as unlabeled unless source shows a strain/community cannot produce enterodiol","Verify exact intermediate identity and whether conversion is isolate-specific or community-level",false,"Endpoint training alone may inflate ranking while hiding mechanistic gaps."
rgcs8,round1,lignan_oxidation,"enterodiol_to_enterolactone exists in positive_pool and reactions_parquet but absent from clean_candidates_full","Specialized gut bacteria oxidize/lactonize enterodiol to enterolactone","https://pubmed.ncbi.nlm.nih.gov/17196483/","https://pubmed.ncbi.nlm.nih.gov/11086885/","Collect independent enterodiol to enterolactone and related terminal oxidation cases with Lactonifactor or other strain evidence","Use reduced/oxidized lignan analogs with no reported lactonization as weak context negatives only after source review","Verify lactone formation and stereochemistry; check why existing gold pair is not retained in clean candidates",false,"Likely a candidate inclusion/evaluation pipeline issue."
rgcs9,round1,flavanol_ring_fission,"catechin/epicatechin_to_valerolactone holdouts absent; local pool has epicatechin to intermediate and intermediate to valerolactone step evidence","Flavan-3-ol C-ring fission to valerolactones is a major gut microbial polyphenol pathway","https://pubmed.ncbi.nlm.nih.gov/21457417/","https://pubmed.ncbi.nlm.nih.gov/25045165/","Collect stepwise positives: catechin/epicatechin to diphenylpropanol intermediates, then valerolactones and downstream hydroxyphenylvaleric acids","Use stereoisomer-specific nonmatching products carefully; stereochemical mismatches should be flagged, not automatically negative","Verify exact valerolactone isomer, stereochemistry, and whether source is in vitro fecal, isolate, or human urinary metabolite",false,"Do not model ring fission as simple dehydroxylation."
rgcs10,round1,flavanone_ring_fission,"naringenin_to_hydroxyphenylpropionic_acid is absent from positive_pool, reactions_parquet, and clean_candidates_full","Flavanone gut metabolism can yield phenylpropionic acid derivatives after ring fission","https://pmc.ncbi.nlm.nih.gov/articles/PMC6930535/","https://www.sciencedirect.com/science/article/pii/S0022283623001122","Collect naringenin/naringin downstream ring-fission positives only when source reports product identities, not just generic degradation","Use aglycone release naringin_to_naringenin as a different positive class and as a negative for ring-fission class labels","Verify whether reported product is 3-(4-hydroxyphenyl)propionic acid or another phenylpropionic acid isomer",false,"Needs stronger source-level extraction before training."
