round,query_slug,priority_family,pmid,title,journal,candidate_class,training_use,raw_file
17,gut_microbiota_azoreductase_nitroreductase_xenobiotic_metabolism,azoreductase_nitroreductase_xenobiotic,38740275,Sequence similarity network analysis of drug- and dye-modifying azoreductase enzymes found in the human gut microbiome.,Archives of biochemistry and biophysics,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_azoreductase_nitroreductase_xenobiotic_metabolism_esearch.json
17,gut_microbiota_azoreductase_nitroreductase_xenobiotic_metabolism,azoreductase_nitroreductase_xenobiotic,30940826,Azoreductase activity of dye-decolorizing bacteria isolated from the human gut microbiota.,Scientific reports,enzyme_or_mechanism_lead,candidate_after exact substrate/product extraction and assay/source verification,data\curation\ncbi_round17_raw\gut_microbiota_azoreductase_nitroreductase_xenobiotic_metabolism_esearch.json
17,gut_microbiota_azoreductase_nitroreductase_xenobiotic_metabolism,azoreductase_nitroreductase_xenobiotic,28721242,The gut microbiota: a major player in the toxicity of environmental pollutants?,NPJ biofilms and microbiomes,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_azoreductase_nitroreductase_xenobiotic_metabolism_esearch.json
17,gut_microbiota_beta_glucuronidase_polyphenol_glucuronide_deconjugation,glucuronide_sulfate_deconjugation,36829817,Potential Role of Quercetin Glycosides as Anti-Atherosclerotic Food-Derived Factors for Human Health.,"Antioxidants (Basel, Switzerland)",literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_beta_glucuronidase_polyphenol_glucuronide_deconjugation_esearch.json
17,gut_microbiota_bile_acid_7_alpha_dehydroxylation_deoxycholic_acid,bile_acid_secondary_transformations,38375831,Dietary resistant starch supplementation increases gut luminal deoxycholic acid abundance in mice.,Gut microbes,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_bile_acid_7_alpha_dehydroxylation_deoxycholic_acid_esearch.json
17,gut_microbiota_bile_acid_7_alpha_dehydroxylation_deoxycholic_acid,bile_acid_secondary_transformations,29549099,Metabolism of Oxo-Bile Acids and Characterization of Recombinant 12α-Hydroxysteroid Dehydrogenases from Bile Acid 7α-Dehydroxylating Human Gut Bacteria.,Applied and environmental microbiology,enzyme_or_mechanism_lead,candidate_after exact substrate/product extraction and assay/source verification,data\curation\ncbi_round17_raw\gut_microbiota_bile_acid_7_alpha_dehydroxylation_deoxycholic_acid_esearch.json
17,gut_microbiota_bile_acid_7_alpha_dehydroxylation_deoxycholic_acid,bile_acid_secondary_transformations,25411028,A metabolomic and pharmacokinetic study on the mechanism underlying the lipid-lowering effect of orally administered berberine.,Molecular bioSystems,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_bile_acid_7_alpha_dehydroxylation_deoxycholic_acid_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,42105902,The gut-brain axis and trimethylamine N-oxide: an emergent biomarker in neurological diseases.,Neuroscience,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41979582,The impact of the gut microbiome on the development of atherosclerosis and peripheral arterial disease: A narrative review.,Przeglad epidemiologiczny,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41786258,Microbial metabolite trimethylamine N-oxide exacerbated microglial-mediated neuroinflammation in hemorrhagic stroke.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41724378,Association between the gut microbiota and estimated glomerular filtration rate in two Swedish population-based cohorts.,Kidney international,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
