round,evidence_item,value,source_path,audit_meaning,production_interpretation
round23,raw_positive_pool_rows,18163,D:\CRB\FoodGut\positive_sample_db\data\processed\foodgut_modular_positive_candidate_pool_v2.csv,Raw positive rows before ltr_build filters and deduplication.,Not the training/evaluation sample count by itself.
round23,unique_positive_reactions,10550,outputs/modular/ltr/reactions.parquet,Unique positive pairs after current ltr_build-style reaction deduplication.,This is the main positive pool before deployment-faithful rule generation.
round23,reaction_tier_counts,"{'weak': 6536, 'silver': 3934, 'gold': 80}",outputs/modular/ltr/reactions.parquet,Gold is small compared with silver/weak.,External generalization is not proven by a large weak/silver pool.
round23,pairs_pos_neg,"{0: 158250, 1: 10550}",outputs/modular/ltr/pairs.parquet,Vocab-mismatch negatives exist at the broad pair stage.,"These negatives are ranking decoys, not biological false reactions."
round23,clean_full_pos_neg,"{0: 47364, 1: 2647}",outputs/modular/ltr/clean_candidates_full.parquet,Deployment-faithful rule generated candidate pool before final clean candidate filter.,Only positives that are generated by rules can be ranked.
round23,clean_final_pos_neg,"{0: 22564, 1: 2139}",outputs/modular/ltr/clean_candidates.parquet,Current final clean candidate training/evaluation table.,Most positives never reach the final candidate set.
round23,clean_final_positive_retention,0.2027,outputs/modular/ltr/reactions.parquet; outputs/modular/ltr/clean_candidates.parquet,Final clean positives divided by unique positive reactions.,A low retention rate points to candidate-generation/rule-family coverage limits.
round23,clean_metrics_n_pts,{10: 24},outputs/modular/ltr/clean2_metrics.csv,All displayed methods/modules are based on n_pts=10.,"High 90%/1.00-like numbers are small internal ranking signals, not production proof."
round23,round22_p0_route_generation,"{'route_checks': 56, 'target_generated': 0, 'final_clean_eligible': 0}",data/curation/round22_p0_route_dryrun.csv,Round22 checked P0 reactions under multiple rule variants.,P0 failures occur before ranking because targets are not generated.
round23,round21_p0_family_mix,"{'polyphenol_urolithin': 7, 'functional_group_removal': 5, 'catechol_dehydroxylation': 1, 'decarboxylation': 1}",data/curation/round21_p0_collection_worklist.csv,The P0 misses concentrate in polyphenol/urolithin and dehydroxylation-like chemistry.,The user's hypothesis is supported: reaction-type/rule-family gaps are a primary blocker.
